ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
60957,Sebastian Polter,1.0,30,192,Germany,right,L1
61087,Karim Bellarabi,4.5,31,184,Germany,right,L1
61253,José Callejón,1.5,34,178,Spain,right,IT1
61560,Marc Albrighton,4.0,31,175,England,right,GB1
61592,James Tomkins,2.5,32,192,England,right,GB1
61651,Jordan Henderson,20.0,31,187,England,right,GB1
61653,Conor Hourihane,3.5,30,181,Ireland,left,GB1
61812,Yuri Berchiche,12.0,31,181,Spain,left,ES1
61842,Andros Townsend,7.0,30,181,England,left,GB1
61891,Fábio,1.8,31,172,Brazil,right,FR1
61989,Michael Esser,0.5,33,198,Germany,right,L1
62351,Abdoulaye Bamba,1.2,31,182,Cote d'Ivoire,right,FR1
62713,Ryder Matos,1.0,28,182,Brazil,right,IT1
62920,Víctor Ruiz,2.2,32,184,Spain,left,ES1
63022,Jan Morávek,0.5,31,180,Czech Republic,right,L1
63040,Oier,0.7,35,178,Spain,right,ES1
63056,Roberto Torres,5.0,32,178,Spain,right,ES1
63186,Roberto Soriano,10.0,30,182,Italy,right,IT1
63200,Ashley Barnes,3.5,31,186,England,right,GB1
63463,Daniel Wass,7.0,32,178,Denmark,right,ES1
63489,Vasilios Lampropoulos,0.45,31,185,Greece,right,L1
63494,Étienne Capoue,2.0,33,189,France,right,ES1
64134,Néstor Araújo,7.0,29,188,Mexico,right,ES1
64399,Vicente Guaita,2.0,34,190,Spain,right,GB1
64793,Leonardo Pavoletti,4.0,32,188,Italy,right,IT1
65230,Sergio Busquets,9.0,33,189,Spain,right,ES1
65255,Timm Klose,0.3,33,195,Switzerland,right,GB1
65278,Pedro,5.0,34,167,Spain,both,IT1
65318,Jaume Costa,2.0,33,171,Spain,left,ES1
65467,Vicente Iborra,3.0,33,190,Spain,right,ES1
65477,Troy Deeney,2.5,33,184,England,right,GB1
66058,Admir Mehmedi,4.0,30,183,Switzerland,right,L1
66100,Oriol Romeu,6.0,29,183,Spain,right,GB1
66106,Sergio Canales,20.0,30,180,Spain,left,ES1
66934,Cheikhou Kouyaté,6.0,31,189,Senegal,right,GB1
67063,Danny Welbeck,4.0,30,185,England,right,GB1
67080,Víctor Laguardia,4.0,31,183,Spain,right,ES1
67082,Vitolo,4.0,31,185,Spain,right,ES1
67089,Juan Cala,1.2,31,186,Spain,right,ES1
67090,Dídac Vilà,0.7,32,185,Spain,left,ES1
67420,Luke Ayling,5.0,29,183,England,right,GB1
67556,Milan Djuric,0.6,31,199,Bosnia-Herzegovina,right,IT1
68033,Steven Zuber,3.5,30,182,Switzerland,right,L1
68290,Neymar,100.0,29,175,Brazil,right,FR1
68390,Seamus Coleman,5.0,32,177,Ireland,right,GB1
68410,Stefanos Kapino,0.7,27,196,Greece,right,L1
68645,Martín Montoya,2.0,30,175,Spain,right,ES1
68718,Yoann Touzghar,0.9,34,180,Tunisia,right,FR1
68863,Mauro Icardi,40.0,28,181,Argentina,right,FR1
68864,Kevin Strootman,5.0,31,186,Netherlands,left,IT1
69015,Andriy Yarmolenko,4.0,31,189,Ukraine,left,GB1
69436,Mateo Pavlovic,1.0,31,194,Croatia,right,FR1
69633,Christian Eriksen,40.0,29,182,Denmark,both,IT1
69646,Jens Stryger Larsen,4.0,30,180,Denmark,both,IT1
69660,Jonás Ramalho,1.0,28,185,Angola,right,ES1
69751,Jordi Alba,20.0,32,170,Spain,left,ES1
70243,Marcel Halstenberg,14.0,29,188,Germany,left,L1
70245,Ignasi Miquel,1.0,28,189,Spain,left,ES1
70285,Jonathan Schmid,3.0,31,180,France,right,L1
70411,Darko Lazovic,5.0,30,181,Serbia,right,IT1
70934,Nolito,1.5,34,175,Spain,right,ES1
71271,Adrián,1.0,34,190,Spain,right,GB1
71292,Jonjo Shelvey,13.0,29,184,England,right,GB1
71579,Iñigo Pérez,0.6,33,178,Spain,left,ES1
71905,Coke,0.8,34,176,Spain,right,ES1
72047,Iago Aspas,9.0,34,176,Spain,left,ES1
72121,Johan Gastien,0.7,33,179,France,right,FR1
72441,Rafael Tolói,15.0,30,185,Italy,right,IT1
72476,Bernd Leno,22.0,29,190,Germany,right,GB1
72491,Riccardo Bocalon,0.25,32,186,Italy,right,IT1
72522,Luuk de Jong,10.0,30,188,Netherlands,right,ES1
72792,Niko Gießelmann,1.3,29,182,Germany,left,L1
72857,Pedro Mendes,6.0,30,186,Portugal,right,FR1
73090,Vid Belec,0.8,31,192,Slovenia,right,IT1
73250,Mario Gaspar,5.0,30,180,Spain,right,ES1
73396,David Ospina,5.0,32,183,Colombia,right,IT1
73484,Tom Cleverley,3.0,32,175,England,right,GB1
73491,Danny Drinkwater,3.0,31,178,England,right,GB1
73564,Jason Steele,0.8,31,188,England,right,GB1
73734,Steven Nzonzi,8.0,32,196,France,right,IT1
73794,Duván Zapata,33.0,30,189,Colombia,right,IT1
73926,Davide Faraoni,7.0,29,180,Italy,right,IT1
74229,Koke,60.0,29,176,Spain,right,ES1
74230,Pablo Sarabia,25.0,29,174,Spain,left,FR1
74294,Nemanja Gudelj,6.0,29,187,Serbia,right,ES1
74297,Gaël Kakuta,8.0,30,173,DR Congo,left,FR1
74300,Luka Milivojevic,8.0,30,186,Serbia,right,GB1
74683,Nemanja Matic,8.0,33,194,Serbia,left,GB1
74810,Ben Mee,6.0,31,180,England,left,GB1
74857,Marc-André ter Stegen,60.0,29,187,Germany,right,ES1
74869,Francis Coquelin,5.0,30,177,France,right,ES1
74943,Juraj Kucka,3.0,34,186,Slovakia,right,GB1
74960,Martin Dubravka,5.0,32,191,Slovakia,right,GB1
75067,Liam Cooper,7.0,29,186,Scotland,left,GB1
75411,Carlo Pinsoglio,0.4,31,194,Italy,left,IT1
75458,Robin Olsen,3.0,31,196,Sweden,right,IT1
75921,Christopher Trimmel,1.2,34,189,Austria,right,L1
75942,Tomás Rincón,2.0,33,177,Venezuela,right,IT1
76061,Sime Vrsaljko,5.0,29,181,Croatia,right,ES1
76277,Laurent Koscielny,3.5,35,186,France,right,FR1
76467,Kiko Femenía,3.5,30,171,Spain,right,GB1
76746,Damián Suárez,1.5,33,173,Uruguay,right,ES1
77100,Lucas Moura,25.0,29,172,Brazil,right,GB1
77383,Eiji Kawashima,0.35,38,185,Japan,right,FR1
77812,Christoph Zimmermann,1.8,28,194,Germany,right,GB1
77825,Etrit Berisha,2.2,32,194,Albania,left,IT1
77826,Ryad Boudebouz,2.2,31,177,Algeria,left,FR1
78147,Fabian Klos,0.8,33,194,Germany,both,L1
78339,Rafal Gikiewicz,1.5,33,190,Poland,right,L1
78917,Julien Faussurier,0.4,34,173,France,right,FR1
78959,Martin Kelly,1.5,31,191,England,right,GB1
79045,Jeroen Zoet,2.0,30,189,Netherlands,right,IT1
79377,Genki Haraguchi,2.5,30,177,Japan,right,L1
79422,Keylor Navas,12.0,34,185,Costa Rica,right,FR1
79501,Daniel Ginczek,2.0,30,191,Germany,right,L1
79960,Alex Sandro,20.0,30,181,Brazil,left,IT1
79967,Simon Zoller,1.8,30,179,Germany,right,L1
80036,Thomas Fontaine,1.0,30,185,Madagascar,left,FR1
80293,Aïssa Mandi,8.0,29,184,Algeria,right,ES1
80351,Josip Ilicic,6.0,33,190,Slovenia,left,IT1
80444,Philippe Coutinho,30.0,29,172,Brazil,right,ES1
80894,Lukasz Skorupski,3.8,30,187,Poland,right,IT1
81512,Christian Kabasele,4.0,30,187,Belgium,right,GB1
81789,Maya Yoshida,3.2,32,189,Japan,right,IT1
81999,Joselu,8.0,31,192,Spain,right,ES1
82009,Kevin Volland,30.0,29,179,Germany,left,FR1
82048,Nicola Sansone,3.8,29,173,Italy,right,IT1
82070,Diego Demme,16.0,29,170,Germany,right,IT1
82097,Christoph Kramer,7.0,30,191,Germany,right,L1
82105,Joel Matip,18.0,30,195,Cameroon,right,GB1
82350,Stefan Bell,2.0,29,192,Germany,right,L1
82442,Olivier Giroud,4.0,34,193,France,left,IT1
82503,Aridane Hernández,3.0,32,188,Spain,right,ES1
82863,Lukas Rupp,1.8,30,178,Germany,right,GB1
82873,Pascal Groß,7.0,30,181,Germany,right,GB1
83132,Vincent Manceau,1.2,32,176,France,right,FR1
83877,Diego Farias,2.5,31,172,Brazil,right,IT1
84085,Timothée Kolodziejczak,4.0,29,185,France,left,FR1
84150,Rafael Czichos,1.3,31,187,Germany,left,L1
84301,Benjamin André,15.0,31,180,France,right,FR1
84344,Davide Santon,2.0,30,187,Italy,right,IT1
84435,Kevin Vogt,4.0,29,194,Germany,right,L1
84442,Leonardo Capezzi,0.8,26,178,Italy,right,IT1
84765,Francesco Caputo,5.0,34,181,Italy,right,IT1
84766,Francesco Di Tacchio,0.6,31,186,Italy,left,IT1
